mean,title
3.19,"Mod Squad, The (1999)"
3.64,Wet Hot American Summer (2001)
3.64,"War of the Roses, The (1989)"
3.64,Inside Llewyn Davis (2013)
3.19,Restoration (1995)
3.64,Underworld: Rise of the Lycans (2009)
3.64,Tom Jones (1963)
3.19,It's Kind of a Funny Story (2010)
3.64,Bully (2001)
3.19,Assault on Precinct 13 (2005)
3.19,Jane Eyre (1996)
3.64,Rabbit-Proof Fence (2002)
4.25,Arizona Dream (1993)
4.25,Tea with Mussolini (1999)
3.64,Sausage Party (2016)
3.19,Blame It on Rio (1984)
3.19,Flash Gordon (1980)
2.27,"Astronaut's Wife, The (1999)"
2.78,Battle for the Planet of the Apes (1973)
2.08,"Dukes of Hazzard, The (2005)"
4.17,Matewan (1987)
2.78,Ted 2 (2015)
2.78,Collateral Damage (2002)
2.78,Bridge to Terabithia (2007)
4.17,Mutiny on the Bounty (1935)
2.78,102 Dalmatians (2000)
3.12,Alpha Dog (2007)
3.57,Proof (2005)
3.57,Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010)
3.57,Superstar (1999)
3.57,Oliver! (1968)
3.12,Rio (2011)
1.92,Ultraviolet (2006)
3.12,"Way of the Gun, The (2000)"
3.12,Balto (1995)
2.5,"Haunted Mansion, The (2003)"
3.12,Never Say Never Again (1983)
3.57,"Last Starfighter, The (1984)"
3.57,Jagged Edge (1985)
3.57,Four Brothers (2005)
3.57,24 Hour Party People (2002)
2.5,Street Fighter (1994)
3.12,Kinsey (2004)
3.12,This Is 40 (2012)
3.57,"Wave, The (Welle, Die) (2008)"
2.5,"House Bunny, The (2008)"
2.5,"Tuxedo, The (2002)"
3.12,Jet Li's Fearless (Huo Yuan Jia) (2006)
3.12,Don Jon (2013)
3.57,Quick Change (1990)
3.12,Conan the Destroyer (1984)
3.12,Get Hard (2015)
3.57,Jackass Number Two (2006)
3.12,Ghostbusters (2016)
3.57,Inglorious Bastards (Quel maledetto treno blindato) (1978)
3.57,Altered States (1980)
2.72,Jason Bourne (2016)
2.72,John Tucker Must Die (2006)
2.72,Smokey and the Bandit (1977)
3.06,Law Abiding Citizen (2009)
4.08,All That Jazz (1979)
2.45,"Twilight Saga: Eclipse, The (2010)"
3.06,Home for the Holidays (1995)
3.06,Eagle Eye (2008)
4.08,Inherit the Wind (1960)
4.08,Dragonslayer (1981)
3.06,What a Girl Wants (2003)
4.08,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
3.06,Kingsman: The Golden Circle (2017)
4.08,In the Company of Men (1997)
3.06,Soldier (1998)
4.08,"Day of the Jackal, The (1973)"
4.08,Klute (1971)
3.06,"Life Less Ordinary, A (1997)"
4.9,"Trial, The (Procès, Le) (1962)"
3.5,Unfaithful (2002)
3.5,Stealing Beauty (1996)
3.5,"Misérables, Les (2012)"
3.5,Lolita (1962)
3.5,Surf's Up (2007)
1.75,"Karate Kid, Part III, The (1989)"
3.5,"Party, The (1968)"
3.5,Flushed Away (2006)
3.5,Mona Lisa (1986)
3.5,Where the Heart Is (2000)
3.5,Enemy (2013)
3.5,Shattered Glass (2003)
4.0,Ginger Snaps (2000)
2.67,Higher Learning (1995)
3.0,Angel Heart (1987)
3.0,"Fan, The (1996)"
2.67,"Twilight Saga: New Moon, The (2009)"
3.0,Heart and Souls (1993)
4.0,Enchanted April (1992)
3.0,Ravenous (1999)
4.0,Ninotchka (1939)
4.0,Gilda (1946)
3.0,Indecent Proposal (1993)
4.0,Fireworks (Hana-bi) (1997)
4.0,Wristcutters: A Love Story (2006)
4.0,True Grit (1969)
3.0,Ali (2001)
2.67,My Fellow Americans (1996)
2.67,Joe's Apartment (1996)
3.0,Mother (1996)
4.0,Kubo and the Two Strings (2016)
3.0,Stakeout (1987)
4.0,"Charlie Brown Christmas, A (1965)"
4.0,Enron: The Smartest Guys in the Room (2005)
3.0,Fierce Creatures (1997)
3.0,"Jacket, The (2005)"
2.4,Showtime (2002)
2.4,Urban Legend (1998)
2.4,Free Willy 2: The Adventure Home (1995)
2.18,Fun with Dick and Jane (2005)
3.43,Lord of the Flies (1990)
3.43,Gamer (2009)
3.43,Mystery Train (1989)
3.43,Death and the Maiden (1994)
3.43,Mask (1985)
3.43,Wait Until Dark (1967)
3.43,Heist (2001)
3.43,Wonderland (2003)
3.43,Joe Versus the Volcano (1990)
3.92,Jackass 3D (2010)
2.94,Swamp Thing (1982)
2.35,Green Lantern (2011)
2.61,Blue Streak (1999)
3.92,Stranger Than Paradise (1984)
2.94,Brewster's Millions (1985)
2.35,"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)"
2.94,"Paris, I Love You (Paris, je t'aime) (2006)"
3.92,Manhunter (1986)
2.94,Fever Pitch (2005)
2.94,Jersey Girl (2004)
3.92,"Lady Vanishes, The (1938)"
3.92,Husbands and Wives (1992)
3.92,Giant (1956)
3.92,Side Effects (2013)
3.92,"Wicker Man, The (1973)"
2.94,Herbie Rides Again (1974)
2.94,Crank: High Voltage (2009)
3.92,East of Eden (1955)
2.61,"Black Hole, The (1979)"
4.7,Memories of Murder (Salinui chueok) (2003)
3.92,"Master, The (2012)"
2.94,Bamboozled (2000)
3.92,Titus (1999)
2.94,"Pagemaster, The (1994)"
3.92,Clockwatchers (1997)
3.92,End of Watch (2012)
3.92,"Vanishing, The (Spoorloos) (1988)"
2.94,Honeymoon in Vegas (1992)
3.36,Unstoppable (2010)
2.14,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997)
2.14,"Animal, The (2001)"
3.36,Help! (1965)
3.36,Beasts of the Southern Wild (2012)
3.36,Doubt (2008)
3.36,Ella Enchanted (2004)
3.36,Revolver (2005)
3.36,Once Upon a Time in China (Wong Fei Hung) (1991)
2.14,Porky's (1982)
3.36,U Turn (1997)
3.36,Transformers: The Movie (1986)
3.36,"Fast & Furious 6 (Fast and the Furious 6, The) (2013)"
3.83,Jeffrey (1995)
3.83,"Twilight Samurai, The (Tasogare Seibei) (2002)"
3.83,Snowden (2016)
3.83,Waitress (2007)
3.83,Lantana (2001)
3.83,Burnt by the Sun (Utomlyonnye solntsem) (1994)
3.83,Following (1998)
3.83,"Education, An (2009)"
1.92,Rambo III (1988)
3.83,"Unforgiven, The (1960)"
2.88,Tom and Huck (1995)
2.88,Cabin Fever (2002)
2.88,Windtalkers (2002)
2.88,"Big Kahuna, The (2000)"
2.88,Fanboys (2009)
2.88,Domino (2005)
2.88,"Family Stone, The (2005)"
2.09,"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)"
2.88,Olympus Has Fallen (2013)
2.88,Night of the Comet (1984)
3.29,"Pledge, The (2001)"
3.29,*batteries not included (1987)
2.3,"Grudge, The (2004)"
3.29,Fear (1996)
2.3,"American Werewolf in Paris, An (1997)"
3.29,Dinner for Schmucks (2010)
3.29,Fido (2006)
3.29,Romper Stomper (1992)
3.29,Hitman (2007)
3.29,Taken 2 (2012)
2.3,Police Academy 3: Back in Training (1986)
3.29,"Spitfire Grill, The (1996)"
4.6,Yi Yi (2000)
3.29,Louis C.K.: Chewed Up (2008)
2.5,"New Guy, The (2002)"
2.81,Outrageous Fortune (1987)
2.81,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
2.81,Win a Date with Tad Hamilton! (2004)
3.75,Reversal of Fortune (1990)
2.5,Terminator Genisys (2015)
2.81,"Hail, Caesar! (2016)"
2.81,Volunteers (1985)
3.75,SubUrbia (1997)
3.75,Eye for an Eye (1996)
2.5,Lawnmower Man 2: Beyond Cyberspace (1996)
2.81,"Last Castle, The (2001)"
3.75,American Movie (1999)
2.5,Ghost Ship (2002)
3.75,Me and Earl and the Dying Girl (2015)
3.75,Senna (2010)
2.81,Dragon: The Bruce Lee Story (1993)
3.75,Drag Me to Hell (2009)
3.75,Steve Jobs (2015)
3.75,Invasion of the Body Snatchers (1978)
3.75,She's the Man (2006)
3.75,Safety Not Guaranteed (2012)
3.75,"Gods Must Be Crazy II, The (1989)"
3.75,Audition (Ôdishon) (1999)
2.81,Cat People (1982)
3.75,"Dolce Vita, La (1960)"
3.75,Persona (1966)
3.75,Win Win (2011)
4.5,Paris Is Burning (1990)
3.21,Angus (1995)
3.21,He Got Game (1998)
3.21,"Matador, The (2005)"
3.21,"Reader, The (2008)"
3.21,Kicking and Screaming (1995)
4.5,Last Tango in Paris (Ultimo tango a Parigi) (1972)
4.5,Jules and Jim (Jules et Jim) (1961)
3.21,Just Go with It (2011)
3.21,Practical Magic (1998)
3.21,Peggy Sue Got Married (1986)
3.21,Land of the Lost (2009)
3.21,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991)
3.21,Dirty Work (1998)
4.5,Captain Fantastic (2016)
2.2,Alexander (2004)
2.75,Armed and Dangerous (1986)
3.67,Sinbad: Legend of the Seven Seas (2003)
2.75,Eight Legged Freaks (2002)
3.67,Inherent Vice (2014)
3.67,Passengers (2016)
2.75,Firewall (2006)
3.67,Inland Empire (2006)
3.67,Blow-Up (Blowup) (1966)
3.67,"Prairie Home Companion, A (2006)"
4.4,"Man Who Shot Liberty Valance, The (1962)"
3.67,"Three Caballeros, The (1945)"
3.67,"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)"
3.67,Roger Dodger (2002)
2.75,Lord of Illusions (1995)
4.4,Babette's Feast (Babettes gæstebud) (1987)
3.67,The Hunger (1983)
3.67,Naked (1993)
3.67,"Omega Man, The (1971)"
2.2,Freddy Got Fingered (2001)
2.75,What Happens in Vegas... (2008)
3.67,Ladder 49 (2004)
2.75,Clean Slate (1994)
4.4,Incendies (2010)
1.83,Dungeons & Dragons (2000)
2.75,Just Married (2003)
3.67,Jumanji: Welcome to the Jungle (2017)
4.4,"7th Voyage of Sinbad, The (1958)"
3.67,Girlfight (2000)
3.14,Teen Wolf (1985)
3.14,"Good Shepherd, The (2006)"
3.14,Radio Days (1987)
3.14,Resident Evil: Afterlife (2010)
3.14,Ferngully: The Last Rainforest (1992)
3.14,Cat Ballou (1965)
3.14,"Whole Ten Yards, The (2004)"
3.14,Body Snatchers (1993)
3.14,Enigma (2001)
3.14,Hot Rod (2007)
3.58,Ridicule (1996)
3.58,"Candidate, The (1972)"
3.58,Coffee and Cigarettes (2003)
3.58,Titanic (1953)
3.58,After the Sunset (2004)
3.58,"Rum Diary, The (2011)"
3.58,Fired Up (2009)
3.58,The Magnificent Seven (2016)
1.95,Dumb and Dumberer: When Harry Met Lloyd (2003)
3.58,Dope (2015)
3.58,Family Guy Presents: It's a Trap (2010)
4.3,Voices from the List (2004)
2.15,Doom (2005)
3.07,Somewhere in Time (1980)
3.07,Melancholia (2011)
2.15,Heartbreakers (2001)
2.69,Just Like Heaven (2005)
2.69,At First Sight (1999)
3.07,Shampoo (1975)
3.07,Sahara (2005)
4.3,"Battle of Algiers, The (La battaglia di Algeri) (1966)"
3.07,"Prince & Me, The (2004)"
3.07,"Muse, The (1999)"
3.07,Coach Carter (2005)
3.07,"Sisterhood of the Traveling Pants, The (2005)"
4.3,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
4.3,Before Night Falls (2000)
4.3,Dersu Uzala (1975)
3.07,Rules of Engagement (2000)
4.3,"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)"
3.07,The Secret Life of Pets (2016)
3.07,Pieces of April (2003)
2.69,I Love Trouble (1994)
3.07,Jungle Fever (1991)
3.07,"Contender, The (2000)"
3.07,"Fabulous Baker Boys, The (1989)"
2.69,American Gigolo (1980)
3.07,Mouse Hunt (1997)
4.3,In the Loop (2009)
2.69,Blue Crush (2002)
3.07,Jude (1996)
2.69,Captain Ron (1992)
2.1,"Night at the Roxbury, A (1998)"
3.5,K-19: The Widowmaker (2002)
3.5,Beerfest (2006)
2.33,Fled (1996)
2.33,Cocoon: The Return (1988)
3.5,Of Mice and Men (1939)
2.62,Osmosis Jones (2001)
4.2,Broadway Danny Rose (1984)
2.62,Mannequin (1987)
4.2,"Face in the Crowd, A (1957)"
2.33,Forces of Nature (1999)
4.2,"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)"
3.5,Repo Men (2010)
3.5,August Rush (2007)
3.5,Futurama: The Beast with a Billion Backs (2008)
3.5,The Alamo (2004)
3.5,Futurama: Into the Wild Green Yonder (2009)
2.62,G.I. Joe: The Rise of Cobra (2009)
3.5,Night at the Museum: Secret of the Tomb (2014)
2.62,Mary Reilly (1996)
3.5,Jason and the Argonauts (1963)
4.2,Vanya on 42nd Street (1994)
3.5,Eddie Murphy Raw (1987)
3.5,Backbeat (1993)
4.2,Perfect Blue (1997)
2.62,Calendar Girls (2003)
2.33,Operation Dumbo Drop (1995)
4.2,Planet Earth II (2016)
3.5,Nine Queens (Nueve reinas) (2000)
2.33,Teaching Mrs. Tingle (1999)
3.5,Attack the Block (2011)
2.33,Freddy vs. Jason (2003)
3.5,Transamerica (2005)
3.5,Lean on Me (1989)
3.5,Madonna: Truth or Dare (1991)
2.62,Freaky Friday (1977)
3.5,This Film Is Not Yet Rated (2006)
3.5,"Dangerous Lives of Altar Boys, The (2002)"
3.5,"Quiet Man, The (1952)"
3.5,Bitter Moon (1992)
3.5,Commando (1985)
3.0,Lords of Dogtown (2005)
3.0,"Apostle, The (1997)"
3.0,Shopgirl (2005)
3.0,Run Fatboy Run (2007)
3.0,Funny Face (1957)
3.0,Invincible (2006)
3.0,With Honors (1994)
3.0,Dead Presidents (1995)
3.0,Tommy (1975)
3.0,20 Dates (1998)
3.42,Daybreakers (2010)
3.42,Ichi the Killer (Koroshiya 1) (2001)
2.56,Celtic Pride (1996)
3.42,"Bear, The (Ours, L') (1988)"
3.42,"Trouble with Harry, The (1955)"
2.56,Analyze That (2002)
2.56,Beowulf (2007)
3.42,Warcraft (2016)
2.28,Red Sonja (1985)
3.42,Vantage Point (2008)
3.42,"Heat, The (2013)"
2.56,Three Men and a Little Lady (1990)
2.28,"Fly II, The (1989)"
3.42,Vacation (2015)
2.56,Soul Man (1986)
3.42,Pecker (1998)
3.42,Knight and Day (2010)
3.42,Bringing Out the Dead (1999)
2.56,Mr. Nice Guy (Yat goh ho yan) (1997)
3.42,Ikiru (1952)
2.56,Masters of the Universe (1987)
3.42,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)"
3.42,Song of the South (1946)
4.1,"Conformist, The (Conformista, Il) (1970)"
4.1,Jiro Dreams of Sushi (2011)
4.1,My Own Private Idaho (1991)
2.05,Elektra (2005)
4.1,"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)"
4.1,Crazy Heart (2009)
4.1,Radio (2003)
4.1,Reign Over Me (2007)
4.1,"Kid, The (1921)"
4.1,Day & Night (2010)
2.93,"Big Hit, The (1998)"
4.1,Au revoir les enfants (1987)
4.1,Love Me If You Dare (Jeux d'enfants) (2003)
4.1,Departures (Okuribito) (2008)
2.93,Hollywood Homicide (2003)
4.1,"Palm Beach Story, The (1942)"
2.93,Man of the House (1995)
4.1,Shooting Fish (1997)
3.33,"Adventures of Pinocchio, The (1996)"
2.22,"Adventures of Rocky and Bullwinkle, The (2000)"
3.33,First Daughter (2004)
3.33,Unknown (2011)
3.33,Art School Confidential (2006)
3.33,"Great Race, The (1965)"
2.22,Fletch Lives (1989)
3.33,"War Room, The (1993)"
3.33,Cobb (1994)
2.22,Supergirl (1984)
3.33,"Other Sister, The (1999)"
3.33,She's Gotta Have It (1986)
3.33,Split (2017)
3.33,"Last Supper, The (1995)"
4.0,Half Nelson (2006)
4.0,Ulee's Gold (1997)
2.5,Bad Girls (1994)
4.0,Flawless (1999)
4.0,Four Lions (2010)
4.0,Little Women (1933)
4.0,Straw Dogs (1971)
2.86,Johnny Dangerously (1984)
2.86,"Pink Panther, The (2006)"
2.86,Cellular (2004)
4.0,"Edukators, The (Die Fetten Jahre sind vorbei) (2004)"
4.0,Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005)
2.86,"Flamingo Kid, The (1984)"
4.0,"Bill Cosby, Himself (1983)"
2.5,"NeverEnding Story II: The Next Chapter, The (1990)"
4.0,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)"
4.0,Suspicion (1941)
4.0,"Three Burials of Melquiades Estrada, The (2006)"
2.86,"Presidio, The (1988)"
2.5,"Heartbreak Kid, The (2007)"
2.86,"Computer Wore Tennis Shoes, The (1969)"
2.5,White Noise (2005)
2.86,Who's Harry Crumb? (1989)
4.0,"Spanish Apartment, The (L'auberge espagnole) (2002)"
4.0,"Best Offer, The (Migliore offerta, La) (2013)"
2.5,"Karate Kid, The (2010)"
2.86,Murder by Numbers (2002)
4.0,Monsieur Verdoux (1947)
3.25,"Black Dahlia, The (2006)"
3.25,Murder on the Orient Express (1974)
3.25,"Lookout, The (2007)"
3.25,Next Friday (2000)
1.77,Beethoven (1992)
2.17,Cops and Robbersons (1994)
2.44,Be Cool (2005)
3.25,Gigi (1958)
3.25,Nighthawks (1981)
3.25,"Eagle Has Landed, The (1976)"
3.25,Failure to Launch (2006)
3.25,Beauty and the Beast (La belle et la bête) (1946)
3.25,"Interpreter, The (2005)"
3.25,The DUFF (2015)
2.44,Striking Distance (1993)
1.62,"Flintstones in Viva Rock Vegas, The (2000)"
3.25,Center Stage (2000)
1.77,Stop! Or My Mom Will Shoot (1992)
2.79,Year One (2009)
2.79,"Bamba, La (1987)"
3.9,Shane (1953)
3.9,King of New York (1990)
2.79,Love and Other Drugs (2010)
3.9,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)"
3.9,Looking for Richard (1996)
3.9,Meet John Doe (1941)
3.9,"Music Man, The (1962)"
3.9,Thesis (Tesis) (1996)
3.9,For the Birds (2000)
2.79,Speechless (1994)
2.79,"Lone Ranger, The (2013)"
3.9,Tokyo Godfathers (2003)
3.9,Anne Frank Remembered (1995)
3.9,"Quiet American, The (2002)"
3.9,"Topo, El (1970)"
2.79,Road House (1989)
2.79,"Day the Earth Stood Still, The (2008)"
3.9,"Time Traveler's Wife, The (2009)"
3.9,Victoria (2015)
3.9,"Crucible, The (1996)"
3.9,Presumed Innocent (1990)
3.9,Solo: A Star Wars Story (2018)
2.71,Paul Blart: Mall Cop (2009)
2.71,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
3.17,Tie Me Up! Tie Me Down! (¡Átame!) (1990)
1.58,Problem Child (1990)
2.71,"Tourist, The (2010)"
2.71,Barbershop (2002)
2.71,Metro (1997)
2.71,House of 1000 Corpses (2003)
3.17,200 Cigarettes (1999)
4.75,Black Mirror: White Christmas (2014)
3.17,Someone to Watch Over Me (1987)
2.71,"Pacifier, The (2005)"
4.75,Adam's Rib (1949)
3.17,Harley Davidson and the Marlboro Man (1991)
3.17,Nanny McPhee (2005)
3.17,Mermaids (1990)
3.17,Ride Along (2014)
2.71,"Cowboy Way, The (1994)"
3.17,Robin Hood (2010)
2.71,3000 Miles to Graceland (2001)
2.71,Sugar & Spice (2001)
3.17,Instinct (1999)
2.38,"Core, The (2003)"
3.17,"Taking of Pelham 1 2 3, The (2009)"
3.17,Sully (2016)
4.75,Woman in the Dunes (Suna no onna) (1964)
3.8,Millennium Actress (Sennen joyû) (2001)
3.8,Underworld: Awakening (2012)
3.8,"Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom) (2008)"
3.8,Akeelah and the Bee (2006)
3.8,Gentlemen Prefer Blondes (1953)
3.8,Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002)
3.8,Diva (1981)
3.8,"Sorry, Wrong Number (1948)"
3.8,Religulous (2008)
3.8,Benji (1974)
3.8,Hamlet (1990)
3.8,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)"
3.8,Antichrist (2009)
3.8,"It's the Great Pumpkin, Charlie Brown (1966)"
3.8,The Boss Baby (2017)
3.8,Whisper of the Heart (Mimi wo sumaseba) (1995)
3.8,Hearts of Darkness: A Filmmakers Apocalypse (1991)
3.8,Battlestar Galactica: Razor (2007)
3.8,Exam (2009)
3.8,Still Alice (2014)
3.8,District 13 (Banlieue 13) (2004)
3.8,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995)
3.8,Them! (1954)
3.8,Cry-Baby (1990)
3.8,Wild at Heart (1990)
3.8,The Wedding Ringer (2015)
3.08,Stepmom (1998)
3.08,Mansfield Park (1999)
3.08,TMNT (Teenage Mutant Ninja Turtles) (2007)
3.08,Oz the Great and Powerful (2013)
3.08,"Hills Have Eyes, The (2006)"
3.08,Memphis Belle (1990)
3.08,Everest (2015)
3.08,The Legend of Tarzan (2016)
3.08,Peter Pan (2003)
3.08,Armour of God (Long xiong hu di) (1987)
3.08,Lost in La Mancha (2002)
3.08,Village of the Damned (1960)
3.7,Paranormal Activity 2 (2010)
2.31,Bird on a Wire (1990)
2.64,Piranha (1978)
2.64,Dreamcatcher (2003)
3.7,Wallace and Gromit in 'A Matter of Loaf and Death' (2008)
3.7,"China Syndrome, The (1979)"
3.7,Auntie Mame (1958)
3.7,Malèna (2000)
3.7,Gomorrah (Gomorra) (2008)
4.62,No Direction Home: Bob Dylan (2005)
3.7,Magnum Force (1973)
3.7,Penguins of Madagascar (2014)
3.7,Revolutionary Road (2008)
2.31,Pokémon: The First Movie (1998)
2.64,Tears of the Sun (2003)
4.62,Tekkonkinkreet (Tekkon kinkurîto) (2006)
3.7,Who Killed the Electric Car? (2006)
2.64,Kicking & Screaming (2005)
2.31,Paulie (1998)
2.64,"Mummy: Tomb of the Dragon Emperor, The (2008)"
3.7,Swing Kids (1993)
3.7,"Draughtsman's Contract, The (1982)"
3.7,Agnes of God (1985)
4.62,Autumn Sonata (Höstsonaten) (1978)
2.31,Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997)
3.7,Grizzly Man (2005)
3.7,Faster Pussycat! Kill! Kill! (1965)
4.62,Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005)
3.7,Joyeux Noël (Merry Christmas) (2005)
3.7,"Accused, The (1988)"
2.64,47 Ronin (2013)
3.7,Beyond the Mat (1999)
4.5,Beautiful Thing (1996)
3.0,Doc Hollywood (1991)
3.6,Peter's Friends (1992)
4.5,Shall We Dance (1937)
3.6,Bloody Sunday (2002)
3.6,Nashville (1975)
2.57,Flowers in the Attic (1987)
3.0,The Accountant (2016)
2.25,Miss Congeniality 2: Armed and Fabulous (2005)
3.0,Quills (2000)
3.0,"Dead Pool, The (1988)"
4.5,"Andalusian Dog, An (Chien andalou, Un) (1929)"
2.57,Grandma's Boy (2006)
3.6,Stardust Memories (1980)
2.57,Krippendorf's Tribe (1998)
3.0,"Freshman, The (1990)"
3.6,Farinelli: il castrato (1994)
3.0,Real Steel (2011)
3.0,One Crazy Summer (1986)
3.0,"Blob, The (1958)"
3.6,Brighton Beach Memoirs (1986)
3.6,Tristan & Isolde (2006)
3.6,Startup.com (2001)
3.0,Overboard (1987)
3.6,Six-String Samurai (1998)
3.6,"Rules of Attraction, The (2002)"
2.57,Random Hearts (1999)
3.6,Passion Fish (1992)
3.0,"Lot Like Love, A (2005)"
3.6,Judgment at Nuremberg (1961)
3.6,Headhunters (Hodejegerne) (2011)
3.0,Tales from the Hood (1995)
3.6,Swimming Pool (2003)
3.0,Return to Oz (1985)
3.6,Frequently Asked Questions About Time Travel (2009)
3.6,Fandango (1985)
3.6,Run Silent Run Deep (1958)
3.0,Walking Tall (2004)
4.5,Lincoln (2012)
3.0,"Shipping News, The (2001)"
3.0,Johnny English Reborn (2011)
2.57,Here Comes the Boom (2012)
2.25,Earth Girls Are Easy (1988)
3.6,"Wolf Man, The (1941)"
3.0,Arthur (2011)
3.0,Life as We Know It (2010)
3.6,Regarding Henry (1991)
3.0,Bad Taste (1987)
3.0,Punisher: War Zone (2008)
3.6,"Accidental Tourist, The (1988)"
2.57,Color of Night (1994)
3.0,"Glimmer Man, The (1996)"
3.6,Paper Moon (1973)
4.5,"Taking of Pelham One Two Three, The (1974)"
3.6,"Buddy Holly Story, The (1978)"
3.6,Assault on Precinct 13 (1976)
3.6,Simply Irresistible (1999)
4.5,Afterglow (1997)
3.6,Hang 'Em High (1968)
2.57,"Quest, The (1996)"
2.5,Dunston Checks In (1996)
3.5,Someone Like You (2001)
2.92,Hearts in Atlantis (2001)
2.92,"Other Woman, The (2014)"
2.92,Ice Age 4: Continental Drift (2012)
2.5,I Spy (2002)
3.5,Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993)
3.5,Cecil B. DeMented (2000)
4.38,Temple Grandin (2010)
4.38,Louis C.K.: Live at The Comedy Store (2015)
3.5,Human Nature (2001)
3.5,Wasabi (2001)
3.5,"Preacher's Wife, The (1996)"
2.92,Message in a Bottle (1999)
3.5,Inkheart (2008)
3.5,"Crimson Rivers, The (Rivières pourpres, Les) (2000)"
3.5,Prefontaine (1997)
2.92,White House Down (2013)
2.19,Black Knight (2001)
2.5,Tomorrowland (2015)
2.19,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993)
2.5,National Lampoon's Senior Trip (1995)
3.5,Jin Roh: The Wolf Brigade (Jin-Rô) (1998)
3.5,"Place Beyond the Pines, The (2012)"
2.92,Wing Commander (1999)
3.5,"Trip to the Moon, A (Voyage dans la lune, Le) (1902)"
2.92,Sky High (2005)
2.5,Jeepers Creepers (2001)
3.5,Isle of Dogs (2018)
2.5,"Rugrats Movie, The (1998)"
3.5,Brothers (2009)
4.38,Funny Games U.S. (2007)
2.92,Becoming Jane (2007)
3.5,"Big Easy, The (1987)"
3.5,"Chamber, The (1996)"
4.38,Chungking Express (Chung Hing sam lam) (1994)
2.92,Drumline (2002)
3.5,Funny People (2009)
3.5,Hitchcock (2012)
2.19,D3: The Mighty Ducks (1996)
4.38,Dune (2000)
4.38,Hunt for the Wilderpeople (2016)
3.5,Charlie Bartlett (2007)
2.92,Uptown Girls (2003)
4.38,Eddie Murphy Delirious (1983)
2.5,Friday the 13th Part 2 (1981)
3.5,Birdy (1984)
2.5,"Princess Diaries 2: Royal Engagement, The (2004)"
2.92,"Grey, The (2012)"
2.92,"Exorcism of Emily Rose, The (2005)"
1.94,Species II (1998)
2.5,Sisters (2015)
2.92,Force 10 from Navarone (1978)
4.38,Buena Vista Social Club (1999)
3.5,"Postman Always Rings Twice, The (1981)"
2.92,Just Friends (2005)
4.38,Partly Cloudy (2009)
2.92,"Kids Are All Right, The (2010)"
1.89,Psycho (1998)
2.83,Picture Perfect (1997)
2.83,Southpaw (2015)
2.83,Insurgent (2015)
2.83,Snow White and the Huntsman (2012)
2.83,Confidence (2003)
2.83,Employee of the Month (2006)
2.83,Mighty Joe Young (1949)
2.83,Always (1989)
2.83,Air America (1990)
2.83,"Hot Chick, The (2002)"
2.83,Basquiat (1996)
2.83,How to Lose Friends & Alienate People (2008)
1.89,Bubble Boy (2001)
2.83,Drop Dead Fred (1991)
2.83,Jade (1995)
2.83,White Chicks (2004)
4.25,All That Heaven Allows (1955)
3.4,"Yards, The (2000)"
3.4,Tender Mercies (1983)
3.4,"Longest Yard, The (1974)"
3.4,Wind River (2017)
3.4,"Castle, The (1997)"
3.4,Dirty Dancing: Havana Nights (2004)
4.25,Places in the Heart (1984)
4.25,"Prophet, A (Un Prophète) (2009)"
4.25,All the King's Men (1949)
3.4,"Journey of Natty Gann, The (1985)"
4.25,Jeremiah Johnson (1972)
3.4,Pandorum (2009)
3.4,Love Affair (1994)
3.4,Crazy/Beautiful (2001)
4.25,"Cove, The (2009)"
4.25,Dead Snow (Død snø) (2009)
3.4,"War, The (1994)"
3.4,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979)
